ACE,TPW
15,171
14,122
17,232
9,183
17,255
33,230
7,346
3,139
15,161
14,303
23,278
24,329
22,168
14,268
6,279
4,91
4,171
24,271
17,205
18,174
31,293
4,174
7,179
7,161
11,120
15,313
28,281
37,308
33,201
6,150
22,259
17,164
24,170
15,225
19,245
27,226
73,461
35,269
12,191
17,181
19,123
10,194
26,189
20,178
18,199
19,169
29,331
18,133
45,229
9,150
46,247
36,214
24,238
10,177
17,224
26,223
20,314
9,267
11,230
40,353
11,171
22,284
28,270
15,152
19,233
26,147
12,278
15,207
31,297
21,253
10,259
5,255
37,324
26,300
33,262
20,247
25,156
20,186
13,150
17,175
14,302
22,327
23,198
28,262
25,255
14,201
7,174
40,314
56,347
17,212
33,217
12,172
18,323
18,209
11,152
11,164
19,194
20,277
10,198
20,161
35,326
18,151
9,164
24,173
13,180
14,190
17,161
36,235
4,149
12,177
10,151
15,214
7,271
20,158
15,172
11,240
16,214
14,239
24,314
12,247
19,268
19,279
39,285
11,191
20,204
7,89
7,152
8,101
14,190
7,134
8,112
2,77
5,134
3,123
11,248
2,107
9,81
2,146
12,160
5,114
3,97
6,181
10,95
9,174
6,200
3,101
3,110
9,126
8,161
6,170
9,182
6,91
3,107
8,116
4,145
7,172
7,95
10,143
4,199
5,114
11,161
3,130
4,185
4,76
1,103
5,203
10,137
5,129
7,178
6,125
9,142
9,172
11,140
1,109
6,177
11,154
13,246
4,143
4,143
9,196
6,113
6,118
2,181
3,151
6,170
2,139
12,98
20,252
5,88
2,92
3,211
1,99
6,155
6,192
6,120
15,203
4,129
10,163
7,112
7,96
14,117
7,186
10,79
4,110
3,112
1,156
3,247
3,85
1,195
5,236
1,106
7,107
7,111
5,131
6,179
12,141
1,115
12,108
9,200
1,109
4,110
7,198
3,121
4,112
7,125
1,135
1,104
1,82
5,174
7,189
1,129
14,170
6,162
1,86
9,175
2,150
4,164
5,125
3,129
3,217
4,99
2,86
1,168
6,120
2,103
2,133
11,138
7,226
10,279
27,312
14,165
9,223
10,335
11,256
5,146
15,262
15,150
14,351
17,193
14,175
18,335
9,156
4,174
10,260
10,144
19,254
13,204
23,264
20,243
24,203
21,212
7,194
4,139
19,325
9,153
21,165
8,171
37,363
4,145
32,285
4,171
13,188
22,207
15,256
31,276
16,281
3,135
16,154
8,175
8,205
14,231
10,179
10,173
12,255
5,147
10,219
13,280
17,180
10,205
4,163
8,179
15,252
8,135
11,194
22,235
3,86
13,193
25,351
12,213
5,140
10,357
11,195
6,215
11,149
15,342
12,181
9,189
6,159
27,238
17,268
38,271
13,176
21,333
21,289
11,271
12,145
5,182
6,239
23,201
9,245
10,184
15,236
11,203
19,381
7,288
24,343
15,212
12,128
6,174
2,151
9,162
12,267
13,243
9,146
6,191
24,228
25,181
6,324
8,184
15,252
7,256
8,233
8,173
42,437
7,176
2,155
14,278
6,168
6,157
15,334
23,369
1,156
2,136
6,257
2,176
3,130
8,160
15,200
9,191
11,335
6,172
4,88
4,119
1,126
2,144
7,86
2,113
1,93
3,126
16,187
5,170
11,255
7,204
3,125
6,181
6,110
3,102
6,173
5,130
3,103
5,260
2,93
9,200
8,187
3,139
4,145
8,162
1,122
3,106
2,122
5,133
1,171
9,107
5,105
16,202
4,181
4,173
10,163
3,116
2,118
2,90
3,158
2,210
4,180
8,101
4,129
2,89
4,98
7,109
5,90
4,189
5,212
6,204
4,114
8,78
1,99
1,111
1,93
4,178
6,138
3,92
1,121
4,115
2,121
2,104
2,208
2,171
1,153
6,185
2,107
3,189
5,147
1,192
1,125
3,101
2,101
1,127
5,151
4,134
5,162
10,193
2,105
8,92
3,134
6,195
6,177
6,130
3,183
1,104
2,170
5,151
2,106
4,150
6,116
2,125
3,211
8,141
5,171
3,94
2,126
3,96
3,96
1,155
2,131
3,208
6,107
1,153
2,136
2,152
5,167
15,164
5,68
12,127
13,189
21,170
21,298
29,218
29,271
26,284
10,370
29,186
25,319
8,220
8,152
19,178
16,257
33,303
18,338
11,182
15,289
18,278
14,163
13,141
26,236
11,197
18,279
21,152
18,206
7,131
6,128
22,294
20,196
21,235
15,326
17,252
12,155
14,187
28,203
12,203
16,191
21,168
14,309
19,244
30,262
17,132
6,119
14,150
13,136
24,354
31,372
12,248
18,248
11,145
13,208
14,209
9,212
21,231
22,239
26,296
5,152
13,313
26,262
16,284
8,191
47,337
16,152
30,239
16,209
7,99
40,281
11,181
10,220
4,176
14,196
12,239
7,152
38,307
13,157
17,242
30,250
16,232
18,160
5,130
19,175
15,283
29,342
25,272
19,219
18,188
24,306
21,311
11,204
15,235
12,237
9,144
21,209
17,135
20,174
12,255
39,211
35,247
37,206
11,248
9,144
19,280
32,246
9,153
5,148
20,293
14,204
24,239
7,173
34,272
27,283
16,156
45,402
21,317
11,211
15,248
17,291
9,243
17,237
11,279
5,125
7,202
9,185
17,330
9,186
7,223
