Result,ST1.1,ST2.1,ST1.2,ST2.2,ACE.1,ACE.2,TPW.1,TPW.2,Gender
0,3,6,6,7,5,10,70,101,0
1,6,6,1,3,13,1,80,42,0
0,4,5,6,7,8,9,106,126,0
1,6,6,2,2,8,1,104,79,0
0,6,4,1,6,0,17,128,127,0
0,3,2,6,6,9,24,108,122,0
0,6,6,3,7,5,2,173,173,0
1,6,6,3,2,3,0,78,61,0
0,5,4,7,6,3,12,67,94,0
1,3,6,6,3,6,8,162,141,0
0,3,6,6,3,7,16,126,152,0
1,6,6,1,7,13,11,177,152,0
0,4,3,6,6,16,6,74,94,0
0,3,5,6,7,7,7,137,131,0
1,6,6,7,2,4,2,151,128,0
1,6,4,4,1,4,0,54,37,0
0,3,4,6,6,2,2,75,96,0
0,6,3,3,6,21,3,129,142,0
0,5,5,7,7,10,7,91,114,0
1,6,6,2,4,9,9,94,80,0
0,6,6,1,4,13,18,140,153,0
0,4,2,6,6,2,2,77,97,0
1,6,6,4,2,6,1,101,78,0
1,6,6,1,4,5,2,95,66,0
1,7,5,5,2,7,4,65,55,0
0,4,6,6,7,9,6,150,163,0
1,5,6,7,4,20,8,148,133,0
1,2,6,6,7,21,16,154,154,0
0,6,3,7,6,25,8,93,108,0
0,4,2,6,6,2,4,55,95,0
0,5,5,7,7,3,19,125,134,0
1,6,6,3,4,9,8,97,67,0
0,4,4,6,6,13,11,74,96,0
0,7,6,6,4,5,10,104,121,0
1,6,6,7,4,5,14,133,112,0
1,5,6,7,3,20,7,125,101,0
0,7,4,6,6,41,32,231,230,0
1,4,4,6,6,22,13,145,124,0
1,4,6,6,3,8,4,98,93,0
1,7,6,5,3,15,2,104,77,0
1,6,7,2,6,9,10,71,52,0
1,6,6,4,2,6,4,108,86,0
1,6,7,3,6,15,11,104,85,0
1,7,6,6,3,4,16,104,74,0
0,4,4,6,6,6,12,89,110,0
1,6,7,4,5,9,10,95,74,0
1,7,4,5,6,18,11,173,158,0
1,6,6,1,1,12,6,84,49,0
0,7,3,6,6,29,16,107,122,0
1,6,6,2,1,1,8,95,55,0
1,6,6,3,7,34,12,133,114,0
1,7,6,6,3,24,12,117,97,0
0,7,4,6,6,10,14,105,133,0
0,3,2,6,6,1,9,76,101,0
0,6,6,7,7,8,9,103,121,0
1,7,6,6,1,21,5,127,96,0
0,3,7,6,5,14,6,147,167,0
1,6,7,4,6,7,2,141,126,0
0,7,6,6,7,11,0,106,124,0
1,7,6,6,3,17,23,175,178,0
0,4,4,6,6,2,9,76,95,0
0,6,7,7,5,6,16,138,146,0
1,7,0,6,6,8,20,135,135,0
0,0,4,6,6,3,12,59,93,0
0,6,6,7,4,5,14,106,127,0
1,6,6,2,3,19,7,88,59,0
1,7,6,5,4,9,3,144,134,0
0,6,4,7,6,6,9,97,110,0
1,6,6,3,7,17,14,159,138,0
0,6,6,3,7,8,13,121,132,0
1,6,6,3,3,9,1,142,117,0
0,6,7,7,5,5,0,113,142,0
1,7,7,5,6,22,15,164,160,0
0,6,6,4,7,11,15,149,151,0
0,4,6,6,3,14,19,126,136,0
1,7,6,6,4,11,9,130,117,0
1,6,6,4,3,15,10,87,69,0
0,4,4,6,6,7,13,95,91,0
1,6,6,4,1,5,8,93,57,0
0,2,1,6,6,6,11,72,103,0
0,6,6,7,3,12,2,156,146,0
0,6,6,4,7,15,7,156,171,0
1,7,6,6,4,14,9,110,88,0
0,4,3,6,6,12,16,123,139,0
1,7,6,6,1,13,12,143,112,0
0,4,6,6,7,6,8,93,108,0
1,6,6,2,2,5,2,106,68,0
1,4,6,6,3,12,28,162,152,0
1,6,6,7,7,32,24,188,159,0
0,3,3,6,6,2,15,95,117,0
1,7,6,6,4,27,6,116,101,0
0,1,1,6,6,7,5,68,104,0
0,4,6,6,2,12,6,165,158,0
0,6,5,7,7,5,13,92,117,0
1,6,6,2,4,7,4,91,61,0
0,3,3,6,6,5,6,71,93,0
1,7,6,5,4,9,10,108,86,0
1,2,7,6,5,16,4,140,137,0
0,2,6,6,7,8,2,87,111,0
1,7,6,5,2,17,3,98,63,0
1,3,4,6,6,27,8,164,162,0
1,6,6,4,2,13,5,93,58,0
0,2,2,6,6,3,6,66,98,0
1,7,6,6,4,17,7,94,79,0
1,6,7,0,6,7,6,105,75,0
1,7,6,6,4,6,8,106,84,0
0,2,1,6,6,13,4,65,96,0
0,3,6,6,3,21,15,107,128,0
0,5,1,7,6,1,3,56,93,0
1,6,6,1,2,2,10,107,70,0
0,3,0,6,6,3,7,55,96,0
1,6,7,3,6,14,1,118,96,0
